Denier,Changeable Heel,Flare Potential,Shoe Warranty,Handle Type,Ball Quality,Bag Warranty,Bag Style,Brunswick Product Line,Fragrance,Particle Load,Performance,Roto Grip Product Line,Durometer,Viz Style,Changeable Sole,Mass Bias Diff,Finish,Storm Product Line,Brand,Ball Color,Bag Size,RG,Perfect Scale,Factory Finish,Release Date,Core Type,Laces/Easy Strap,Shoe Mfg Part #,Ball Sports League,Gender,Differential,Product ID,OTB Style,Bag Mfg Part #,Ball Warranty,name,Shoe Size Capacity,Coverstock,url,Core Name,Holds Shoes,Lane Condition,Breakpoint Shape,Shoe Color,Bowling Hand (Shoes),Coverstock Name,Bag Color
,,,,,First Quality,,,,,,,,,,,,High Polish,,Lane #1,Heavy Metal,,0.000,158.0,,,,,,,,,4089,,,,Lane #1 Enriched Uranium,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-1/4089/enriched-uranium.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Sanded,,Roto Grip,Crimson/Steel/Charcoal,,2.480,176.5,,,,,,,,,4129,,,,Roto Grip Epic Battle,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/4129/epic-battle.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Black,,0.000,43.0,,,,,,,,,3819,,,,Ebonite Earl Anthony Gyro Magnum 5,,Urethane,https://www.bowlingball.com/products/bowling-balls/ebonite/3819/earl-anthony-gyro-magnum-5.html,,,Dry,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Roto Grip,Fire Engine Red/Royal Blue,,2.520,159.5,,,,,,,,,4118,,,,Roto Grip Epic Pro CG,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/4118/epic-pro-cg.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Roto Grip,Crimson/Steel/Charcoal,,2.480,176.5,,,,,,,,,5053,,,,Roto Grip Epic Battle Pro CG,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5053/epic-battle-pro-cg.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Roto Grip,Fire Engine Red/Royal Blue,,2.520,159.5,,,,,,,,,3777,,,,Roto Grip Epic Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/3777/epic-pro-pin.html,,,Medium,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Roto Grip,Purple/Navy/Forest,,2.530,189.8,,09/12/2007,,,,,,,5977,,,,Roto Grip Epic Quest Pro CG,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5977/epic-quest-pro-cg.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Roto Grip,Purple/Navy/Forest,,2.530,189.8,,09/12/2007,,,,,,,5978,,,,Roto Grip Epic Quest 2 Pro CG,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5978/epic-quest-2-pro-cg.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Roto Grip,Navy Solid/Blue Pearl/Silver Pearl,,2.480,175.5,,,,,,,,,5059,,,,Roto Grip Epic Saga Pro CG,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5059/epic-saga-pro-cg.html,,,Medium-Heavy,,,,,
,,,,,Second,,,,,,High Performance[8],,,,,,Polished,,Roto Grip,Fire Engine Red/Royal Blue,,2.520,159.5,,,,,,,,,6950,,,,Roto Grip Epic X-Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/roto-grip/6950/epic-x-blem.html,,,Medium,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Roto Grip,Navy Solid/Blue Pearl/Silver Pearl,,2.480,175.5,,,,,,,,,5058,,,,Roto Grip Epic Saga Pro Pin,,Particle,https://www.bowlingball.com/products/bowling-balls/roto-grip/5058/epic-saga-pro-pin.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Track,Burgundy Pearl/Copper Pearl,,2.480,161.5,,08/01/2006,,,,,,,4543,,,,Track Equation,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/4543/equation.html,,,Medium,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Columbia 300,Purple,,2.533,218.0,,,,,,,,,3621,,,,Columbia 300 EPX T1,,Epoxy,https://www.bowlingball.com/products/bowling-balls/columbia-300/3621/epx-t1.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Track,Purple Pearl/Burgundy,,2.500,179.8,,02/02/2007,,,,,,,5039,,,,Track Equation2,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/5039/equation2.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Scarlet/Flame,,2.526,145.0,,,,,,,,,4632,,,,Storm Eraser,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/4632/eraser.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Scarlet/Flame,,2.526,145.0,,,,,,,,,2626,,,,Storm Eraser Banshee,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/2626/eraser-banshee.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Storm,Grape/Navy,,2.570,120.0,,,,,,,,,3509,,,,Storm Eraser Boost,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/3509/eraser-boost.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Midnight Blue/Gold,,2.539,135.0,,,,,,,,,2627,,,,Storm Eraser Pearl Particle,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/2627/eraser-pearl-particle.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Blue/Red,,2.526,150.0,,,,,,,,,3118,,,,Storm Eraser Ragin' Banshee,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/3118/eraser-ragin-banshee.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Visionary,Charcoal,,2.490,158.0,,,,,,,,,1895,,,,Visionary Executioner Charcoal,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/visionary/1895/executioner-charcoal.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Orange/Blue,,2.526,141.0,,,,,,,,,2919,,,,Storm Eraser Screamin' Banshee,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/2919/eraser-screamin-banshee.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Brunswick,Blue/Orange,,0.000,181.0,,,,,,,,,3358,,,,Brunswick Explosion Zone 2,,Particle,https://www.bowlingball.com/products/bowling-balls/brunswick/3358/explosion-zone-2.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Brunswick,Black/Green,,2.539,197.2,,,,,,,,,5015,,,,Brunswick Express Zone H - bowlingball.com Exclusive International Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/5015/express-zone-h-bowlingballcom-exclusive-international-release.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Visionary,Purple Ice,,2.540,170.0,,,,,,,,,1896,,,,Visionary Executioner Purple Ice,,Urethane,https://www.bowlingball.com/products/bowling-balls/visionary/1896/executioner-purple-ice.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Brunswick,Orange/Purple,,0.000,127.7,,,,,,,,,3355,,,,Brunswick Explosion Zone 1,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/3355/explosion-zone-1.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Brunswick,Purple/Teal,,2.522,191.6,,,,,,,,,5014,,,,Brunswick Express Zone S - bowlingball.com Exclusive International Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/5014/express-zone-s-bowlingballcom-exclusive-international-release.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Polished,,Lane Masters,Red,,2.548,129.2,,02/01/2002,,,,,,,6217,,,,Lane Masters Extreme Impact,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-masters/6217/extreme-impact.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Storm,Emerald/Ruby/Gold,,2.490,182.0,,,,,,,,,1757,,,,Storm Fear Factor,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/1757/fear-factor.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Columbia 300,Purple/Orange/Black,,2.617,94.0,,,,,,,,,2004,,,,Columbia 300 Fear,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/2004/fear.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Storm,Emerald / Ruby / Gold,,2.490,182.0,,,,,,,,,2741,,,,Storm Fear Factor Pro Pin,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/2741/fear-factor-pro-pin.html,,,Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Columbia 300,Crimson Red,,0.000,45.4,,,,,,,,,3786,,,,Columbia 300 Fever Crimson,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/3786/fever-crimson.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Track,Red/Blue,,2.490,0.0,,,,,,,,,5301,,,,Track EZ Money,,Particle,https://www.bowlingball.com/products/bowling-balls/track/5301/ez-money.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Columbia 300,Navy Blue,,0.000,45.4,,,,,,,,,3785,,,,Columbia 300 Fever Navy,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/3785/fever-navy.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Storm,Fire Orange/Black,,2.540,150.0,,,,,,,,,4106,,,,Storm Fire Diablo Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/4106/fire-diablo-pro-pin.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Matte,,Storm,Fire Orange/Black,,2.540,150.0,,,,,,,,,3117,,,,Storm Fire Diablo,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/3117/fire-diablo.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Storm,Fire Orange Pearl,,2.540,149.0,,,,,,,,,6562,,,,Storm Fired Up II - Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/6562/fired-up-ii-overseas-release.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Fire Orange Pearl,,2.540,149.0,,,,,,,,,2918,,,,Storm Fired Up,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/2918/fired-up.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Fire Orange Pearl,,2.540,149.0,,,,,,,,,4102,,,,Storm Fired Up Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/4102/fired-up-pro-pin.html,,,Medium,,,,,
,,,,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Brunswick,Red Pearl/Orange Pearl,,2.539,182.9,,12/05/2008,,,,,,,6877,,,,Brunswick Firing Inferno,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/6877/firing-inferno.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Storm,Maroon/Navy,,2.520,157.0,,,,,,,,,2628,,,,Storm Flash Flood,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/2628/flash-flood.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Purple/Jade,,2.520,147.0,,,,,,,,,1905,,,,Storm Flash Force,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/1905/flash-force.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Track,"Clear with Flaming ""T"" Logo",,0.000,15.0,,06/01/2006,,,,,,,4478,,,,"Track Flaming ""T"" Clear",,Plastic,https://www.bowlingball.com/products/bowling-balls/track/4478/flaming-t-clear.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Columbia 300,Silver Pearl,,0.000,57.5,,,,,,,,,3642,,,,Columbia 300 Flipside Comet Pearl Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/columbia-300/3642/flipside-comet-pearl-urethane.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Columbia 300,Burgundy/Oyster/Black Pearl,,2.520,148.0,,,,,,,,,1833,,,,Columbia 300 Flip Side Ego - Huge Savings,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/1833/flip-side-ego-huge-savings.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Track,Blue/Red/Silver,,2.460,115.9,,,,,,,,,2106,,,,Track Freak-A-Zoid,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/2106/freak-a-zoid.html,,,Medium,,,,,
,,,,,Second,,,,,,,,,,,,Polished,,Columbia 300,Burgundy/Oyster/Black Pearl,,2.520,148.0,,,,,,,,,4285,,,,Columbia 300 Flip Side Ego X Blem,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/4285/flip-side-ego-x-blem.html,,,Medium,,,,,
,,,,,First Quality,,,,,,Entry Performance[2],,,,,,Sanded,,Star Trak,Blue,,0.000,11.0,,,,,,,,,5422,,,,Star Trak Force 10 Blue,,Urethane,https://www.bowlingball.com/products/bowling-balls/star-trak/5422/force-10-blue.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Storm,Black/Bronze,,2.520,147.0,,,,,,,,,1840,,,,Storm Flash Point,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/storm/1840/flash-point.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Columbia 300,Teal/Blue/Red,,2.500,164.0,,,,,,,,,1832,,,,Columbia 300 Formula - Huge Savings,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/1832/formula-huge-savings.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Brunswick,Royal Blue,,3.500,158.1,,,,,,,,,1650,,,,Brunswick Fuze Eliminator,,Particle,https://www.bowlingball.com/products/bowling-balls/brunswick/1650/fuze-eliminator.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Brunswick,Blue/Silver,,2.543,161.8,,,,,,,,,4251,,,,Brunswick Fuze Blue/Silver,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/4251/fuze-bluesilver.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Track,Red,,2.530,0.0,,,,,,,,,5300,,,,Track Freak,,Particle,https://www.bowlingball.com/products/bowling-balls/track/5300/freak.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Columbia 300,Black,,2.519,0.0,,,,,,,,,5330,,,,Columbia 300 Game,,Particle,https://www.bowlingball.com/products/bowling-balls/columbia-300/5330/game.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Columbia 300,Blue/Black,,2.484,194.3,,,,,,,,,5335,,,,Columbia 300 Full Throttle,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/columbia-300/5335/full-throttle.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Red/Blue/Purple,,2.510,157.8,,,,,,,,,2518,,,,Ebonite Game Time Pearl,,Particle,https://www.bowlingball.com/products/bowling-balls/ebonite/2518/game-time-pearl.html,,,Medium,,,,,
,,,,,Second,,,,,,,,,,,,Sanded,,Ebonite,Red/Blue/Purple,,2.510,157.8,,,,,,,,,3513,,,,Ebonite Game Time X-Out,,Particle,https://www.bowlingball.com/products/bowling-balls/ebonite/3513/game-time-x-out.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Visionary,Green Pearlized Finish,,2.580,181.0,,,,,,,,,1891,,,,Visionary Gargoyle Green,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/visionary/1891/gargoyle-green.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Circle,Blue/Purple Pearl,,2.458,125.6,,07/15/2006,,,,,,,4540,,,,Circle Full Tilt,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/circle/4540/full-tilt.html,,,Medium-Heavy,,,,,
,,"3""+",,,First Quality,,,,,,Advanced Performance[6],,,,,,Polished,,Lane #1,Ruby/Sapphire,,2.652,165.5,2000 Grit,08/01/2009,Symmetric,,,,,.042,7501,,,1 Year,Lane #1 Gemstone,,Hybrid Reactive,https://www.bowlingball.com/products/bowling-balls/lane-1/7501/gemstone-.html,Side Cut Patented Diamond w/ Pancake Flip Top,,Medium,,,,Hybrid Iso Pearl Reactive,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Ruby Red Clear,,0.000,5.0,,,,,,,,,3699,,,,Ebonite Gemstone Ruby Clear,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/3699/gemstone-ruby-clear.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Track,Purple/Navy,,0.000,121.4,,,,,,,,,2839,,,,Track Get X Rush Overseas Release,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/track/2839/get-x-rush-overseas-release.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Black Ghost Face,,0.000,5.0,,,,,,,,,3501,,,,Ebonite Ghost Face,,Plastic,https://www.bowlingball.com/products/bowling-balls/ebonite/3501/ghost-face.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Lane #1,Solar Red Swirl,,0.000,198.5,,04/06/2007,,,,,,,5081,,,,Lane #1 G-Force Nebula,,Particle,https://www.bowlingball.com/products/bowling-balls/lane-1/5081/g-force-nebula.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,,Polished,,Lane #1,Red/Blue,,0.000,193.9,,08/31/2007,Symmetric,,,,,,5904,,,,Lane #1 G-Force Super Nova,,Particle,https://www.bowlingball.com/products/bowling-balls/lane-1/5904/g-force-super-nova.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,Pro Performance[10],,,,,,Matte,,Lane #1,Solar Red Swirl,,0.000,191.5,,02/06/2007,,,,,,,5031,,,,Lane #1 G-Force,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-1/5031/g-force.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Brunswick,Deep Purple,,2.546,211.0,,,,,,,,,2044,,,,Brunswick Goliath,,Particle,https://www.bowlingball.com/products/bowling-balls/brunswick/2044/goliath.html,,,Heavy,,,,,
,,6â€ Plus (High),,,Second,,,,Chocolate Cherry,,Pro Performance[10],,73-75,,,0.020,Polished,,Storm,Scarlet/Tigers Eye/Violet,,2.550,192.8,1500-grit Polish,,,,,,,0.052,6546,,,,Storm Gravity Shift X-Blem,,Particle,https://www.bowlingball.com/products/bowling-balls/storm/6546/gravity-shift-x-blem.html,SHAPE-LOCKâ„¢ HD,,Medium-Heavy,,,,R2Xâ„¢ Pearl Reactive,
,,,,,First Quality,,,,,,,,,,,,Matte,,Dyno-Thane,Pink/Black,,2.540,0.0,,,,,,,,,3975,,,,Dyno-Thane Grazie 39 Pro Pin,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/dyno-thane/3975/grazie-39-pro-pin.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Roto Grip,Black,,0.000,61.0,,,,,,,,,3673,,,,Roto Grip Grenade Black,,Urethane,https://www.bowlingball.com/products/bowling-balls/roto-grip/3673/grenade-black.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Roto Grip,Gold Pearl,,0.000,59.0,,,,,,,,,3674,,,,Roto Grip Grenade Gold,,Urethane,https://www.bowlingball.com/products/bowling-balls/roto-grip/3674/grenade-gold.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Roto Grip,Blue,,0.000,60.0,,,,,,,,,3675,,,,Roto Grip Grenade Blue,,Urethane,https://www.bowlingball.com/products/bowling-balls/roto-grip/3675/grenade-blue.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Grey Pearl,,0.000,136.0,,,,,,,,,3669,,,,Ebonite Grey Wolf Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3669/grey-wolf-pearl.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Brunswick,Blue,,2.684,45.0,,,,,,,,,1789,,,,Brunswick Groove Blue Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/brunswick/1789/groove-blue-urethane.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Brunswick,Blackberry Sparkle,,2.701,0.0,,,,,,,,,5324,,,,Brunswick Groove Dynamic Reactive Blackberry Sparkle,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/brunswick/5324/groove-dynamic-reactive-blackberry-sparkle.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Visionary,Blue Sparkle,,2.550,175.0,,,,,,,,,1897,,,,Visionary Gryphon Blue Sparkle,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/visionary/1897/gryphon-blue-sparkle.html,,,Medium,,,,,
,,,,,,,,,,,,,,,,,,,900 Global,,,,,,,,,,,,,11266,,,,900 Global Grip It 2nd,,,https://www.bowlingball.com/products/bowling-balls/900-global/11266/grip-it-2nd.html,,,,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Visionary,Burgundy,,2.550,170.0,,,,,,,,,1898,,,,Visionary Gryphon Burgundy,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/visionary/1898/gryphon-burgundy.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Red Pearl,,0.000,52.5,,,,,,,,,3743,,,,Ebonite Gyro 1 Pro Green,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3743/gyro-1-pro-green.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Black,,0.000,40.0,,,,,,,,,3503,,,,Ebonite Gyro Black Sanded Anbush,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3503/gyro-black-sanded-anbush.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Ebonite,Black,,0.000,0.0,,,,,,,,,5421,,,,Ebonite Gyro Earl Anthony Mag-10,,Rubber,https://www.bowlingball.com/products/bowling-balls/ebonite/5421/gyro-earl-anthony-mag-10.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Blue,,0.000,40.0,,,,,,,,,3082,,,,Ebonite Gyro Blue Sanded,,Urethane,https://www.bowlingball.com/products/bowling-balls/ebonite/3082/gyro-blue-sanded.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Green,,0.000,82.0,,,,,,,,,3504,,,,Ebonite Gyro Green,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3504/gyro-green.html,,,Dry,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Black,,0.000,46.0,,,,,,,,,3717,,,,Ebonite Gyro I Black Sanded Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/ebonite/3717/gyro-i-black-sanded-urethane.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Blue,,0.000,46.0,,,,,,,,,3719,,,,Ebonite Gyro I Blue Sanded Urethane,,Urethane,https://www.bowlingball.com/products/bowling-balls/ebonite/3719/gyro-i-blue-sanded-urethane.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Sanded,,Ebonite,Forest Green,,0.000,64.0,,,,,,,,,3711,,,,Ebonite Gyro Particle Urethane,,Particle,https://www.bowlingball.com/products/bowling-balls/ebonite/3711/gyro-particle-urethane.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Ebonite,Blue,,0.000,63.5,,,,,,,,,3715,,,,Ebonite Gyro Pro Acryllium,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3715/gyro-pro-acryllium.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Teal,,0.000,57.8,,,,,,,,,3716,,,,Ebonite Gyro Pro Teal,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3716/gyro-pro-teal.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Purple Pearl,,0.000,62.0,,,,,,,,,3836,,,,Ebonite Gyro Purple Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3836/gyro-purple-pearl.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Ebonite,Black,,0.000,62.0,,,,,,,,,3712,,,,Ebonite Gyro Reactive Black,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3712/gyro-reactive-black.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Ebonite,Green Pearl,,0.000,62.0,,,,,,,,,3713,,,,Ebonite Gyro Reactive Green Pearl,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/ebonite/3713/gyro-reactive-green-pearl.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Polished,,Lane #1,Water Blue,,0.000,143.7,,,,,,,,,3655,,,,"Lane #1 H2O ""Hybrid Offset"" Buzzsaw",,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/lane-1/3655/h2o-hybrid-offset-buzzsaw.html,,,Medium,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Circle,Dark Grey/Gun Metal Grey,,2.525,180.0,,,,,,,,,2695,,,,Circle Hard Core,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/circle/2695/hard-core.html,,,Medium,,,,,
,,,,,,,,,,,,,,,,,,,Brunswick,,,,,,,,,,,,,4997,,,,Brunswick Hat Quantum Black/Tan,,,https://www.bowlingball.com/products/bowling-balls/brunswick/4997/hat-quantum-blacktan.html,,,,,,,,
600,,,,,,,Non Roller,,,,,,,,,,,,Brunswick,,Single,,,,,,,,,,,2904,,,,Brunswick Hatchback Single,,,https://www.bowlingball.com/products/bowling-balls/brunswick/2904/hatchback-single.html,,Yes,,,,,,
,,,,,First Quality,,,,,,,,,,,,Matte,,Hammer,Bronze/Blazing Orange,,2.560,199.2,,,,,,,,,3872,,,,Hammer Hawg Wild,,Reactive Resin,https://www.bowlingball.com/products/bowling-balls/hammer/3872/hawg-wild.html,,,Medium-Heavy,,,,,
,,,,,First Quality,,,,,,High Performance[8],,,,,,Matte,,Circle,Magenta Solid,,2.515,190.0,,08/01/2005,,,,,,,3265,,,,Circle Hard Core Particle,,Particle,https://www.bowlingball.com/products/bowling-balls/circle/3265/hard-core-particle.html,,,Medium-Heavy,,,,,
